name2,island_olelo,moku_olelo,moku,island
HALELEA,Kaua‘i,Halele‘a,halelea,kauai
KOOLAU KAU,Kaua‘i,Ko‘olau,koolau,kauai
NAPALI,Kaua‘i,Nāpali,napali,kauai
KOOLAU NIH,Ni‘ihau,Ko‘olau,koolau,niihau
PUNA KAU,Kaua‘i,Puna,puna,kauai
KONA KAU,Kaua‘i,Kona,kona,kauai
KONA NIH,Ni‘ihau,Kona,kona,niihau
PUNA NIH,Ni‘ihau,Puna,puna,niihau
KOOLAULOA,O‘ahu,Ko‘olauloa,koolauloa,oahu
WAIALUA,O‘ahu,Waialua,waialua,oahu
WAIANAE,O‘ahu,Wa‘ianae,waianae,oahu
EWA,O‘ahu,‘Ewa,ewa,oahu
KOOLAUPOKO,O‘ahu,Ko‘olaupoko,koolaupoko,oahu
KONA OAH,O‘ahu,Kona,kona,oahu
KOOLAU MOL,Moloka‘i,Ko‘olau,koolau,molokai
KALAWA,Moloka‘i,Hālawa,halawa,molokai
PALAAU,Moloka‘i,Pālāʻau,palaau,molokai
KALUAKOI,Moloka‘i,Kaluako‘i,kaluakoi,molokai
KONA MOL,Moloka‘i,Kona,kona,molokai
KAANAPALI,Maui,Kāʻanapali,kaanapali,maui
HAMAKUAPOKO,Maui,Hāmākuapoko,hamakuapoko,maui
HAMAKUALOA,Maui,Hāmākualoa,hamakualoa,maui
WAILUKU,Maui,Wailuku,wailuku,maui
KOOLAU MAU,Maui,Ko‘olau,koolau,maui
LAHAINA,Maui,Lāhainā,lahaina,maui
KOOLAU LAN,Lāna‘i,Ko‘olau,koolau,lanai
KEALALOLOA,Maui,Kealaloloa,kealaloloa,maui
KULA,Maui,Kula,kula,maui
KONA LAN,Lāna‘i,Kona,kona,lanai
HANA,Maui,Hāna,hana,maui
KIPAHULU,Maui,Kīpahulu,kipahulu,maui
KOOLAU KAH,Kaho‘olawe,Ko‘olau,koolau,kahoolawe
HONUAULA,Maui,Honua‘ula,honuaula,maui
KONA KAH,Kaho‘olawe,Kona,kona,kahoolawe
HAMAKUA,Hawai‘i,Hāmākua,hamakua,hawaii
KOHALA,Hawai‘i,Kohala,kohala,hawaii
HILO,Hawai‘i,Hilo,hilo,hawaii
PUNA HAW,Hawai‘i,Puna,puna,hawaii
KONA HAW,Hawai‘i,Kona,kona,hawaii
KAU,Hawai‘i,Kaʻū,kau,hawaii
MANA,Kaua'i,Mana,mana,kauai
KAUPO,Maui,Kaupō,kaupo,maui
KAHIKINUI,Maui,Kahikinui,kahikinui,maui
